#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
28,Alperen Sengun,C,210.8,110.2,22,Houston Rockets,3,Besiktas Icrypex (Turkey),2021 Rnd 1 Pick 16,Turkey
28,Brice Sensabaugh,F,195.6,106.6,21,Utah Jazz,1,Ohio State,2023 Rnd 1 Pick 28,United States
2,Collin Sexton,PG,190.5,86.2,26,Utah Jazz,6,Alabama,2018 Rnd 1 Pick 8,United States
44,Landry Shamet,PG,193.0,86.2,27,New York Knicks,6,Wichita State,2018 Rnd 1 Pick 26,United States
00,"Terrence Shannon, Jr.",F,198.1,97.5,24,Minnesota Timberwolves,0,Illinois,2024 Rnd 1 Pick 27,United States
20,Day'Ron Sharpe,PF,205.7,120.2,23,Brooklyn Nets,3,North Carolina,2021 Rnd 1 Pick 29,United States
17,Shaedon Sharpe,F,195.6,94.3,21,Portland Trail Blazers,2,Kentucky,2022 Rnd 1 Pick 7,Canada
23,Jamal Shead,G,185.4,90.7,22,Toronto Raptors,0,Houston,2024 Rnd 2 Pick 15,United States
26,Ben Sheppard,G,198.1,86.2,23,Indiana Pacers,1,Belmont,2023 Rnd 1 Pick 26,United States
15,Reed Sheppard,G,188.0,83.9,20,Houston Rockets,0,Kentucky,2024 Rnd 1 Pick 3,United States
43,Pascal Siakam,F,203.2,111.1,30,Indiana Pacers,8,New Mexico State,2016 Rnd 1 Pick 27,Cameroon
25,Ben Simmons,PF,208.3,108.9,28,Los Angeles Clippers,8,LSU,2016 Rnd 1 Pick 1,Australia
1,Anfernee Simons,SG,190.5,90.7,25,Portland Trail Blazers,6,IMG Academy (Florida),2018 Rnd 1 Pick 24,United States
25,K.J. Simpson,G,182.9,85.7,23,Charlotte Hornets,0,Colorado,2024 Rnd 2 Pick 12,United States
00,Jericho Sims,C,208.3,113.4,26,Milwaukee Bucks,3,Texas,2021 Rnd 2 Pick 28,United States
36,Marcus Smart,PG,190.5,99.8,30,Washington Wizards,10,Oklahoma State,2014 Rnd 1 Pick 6,United States
12,Dru Smith,SG,188.0,92.1,27,Miami Heat,2,Missouri,"2021 NBA Draft, Undrafted",United States
7,Jalen Smith,C,205.7,97.5,24,Chicago Bulls,4,Maryland,2020 Rnd 1 Pick 10,United States
10,"Jabari Smith, Jr.",F,208.3,99.8,21,Houston Rockets,2,Auburn,2022 Rnd 1 Pick 3,United States
8,"Nick Smith, Jr.",G,188.0,83.9,20,Charlotte Hornets,1,Arkansas,2023 Rnd 1 Pick 27,United States
35,Tolu Smith,F,210.8,111.1,24,Detroit Pistons,0,Mississippi State,"2024 NBA Draft, Undrafted",United States
21,Tyler Smith,F,205.7,101.6,20,Milwaukee Bucks,0,NBA G League Ignite,2024 Rnd 2 Pick 3,United States
10,Jeremy Sochan,SG,203.2,104.3,21,San Antonio Spurs,2,Baylor,2022 Rnd 1 Pick 9,United StatesPoland
24,Cam Spencer,SG,193.0,93.0,25,Memphis Grizzlies,0,UConn,2024 Rnd 2 Pick 23,United States
61,Pat Spencer,G,190.5,93.0,28,Golden State Warriors,1,Northwestern,"2020 NBA Draft, Undrafted",United StatesCape Verde
11,Jaden Springer,SG,193.0,91.6,22,Utah Jazz,3,Tennessee,2021 Rnd 1 Pick 28,United States
4,Isaiah Stevens,PG,182.9,83.9,24,Miami Heat,0,Colorado State,"2024 NBA Draft, Undrafted",United States
13,Lamar Stevens,SF,200.7,104.3,27,Memphis Grizzlies,4,Penn State,"2020 NBA Draft, Undrafted",United States
30,Erik Stevenson,G,193.0,93.0,25,Washington Wizards,0,West Virginia,"2023 NBA Draft, Undrafted",United States
28,Isaiah Stewart II,C,203.2,113.4,23,Detroit Pistons,4,Washington,2020 Rnd 1 Pick 16,United States
3,Julian Strawther,GF,198.1,93.0,22,Denver Nuggets,1,Gonzaga,2023 Rnd 1 Pick 29,United StatesPuerto Rico
1,Max Strus,G,195.6,97.5,28,Cleveland Cavaliers,5,DePaul,"2019 NBA Draft, Undrafted",United States
4,Jalen Suggs,SG,195.6,93.0,23,Orlando Magic,3,Gonzaga,2021 Rnd 1 Pick 5,United States
8,Jae'sean Tate,F,193.0,104.3,29,Houston Rockets,4,Ohio State,"2018 NBA Draft, Undrafted",United States
0,Jayson Tatum,SF,203.2,95.3,26,Boston Celtics,7,Duke,2017 Rnd 1 Pick 3,United States
17,Garrett Temple,G,195.6,88.5,38,Toronto Raptors,14,LSU,"2009 NBA Draft, Undrafted",United States
25,Dalen Terry,PG,200.7,88.5,22,Chicago Bulls,2,Arizona,2022 Rnd 1 Pick 18,United States
24,Cam Thomas,PG,190.5,95.3,23,Brooklyn Nets,3,LSU,2021 Rnd 1 Pick 27,United States
1,Amen Thompson,G,200.7,90.7,22,Houston Rockets,1,Overtime Elite (Georgia),2023 Rnd 1 Pick 4,United States
9,Ausar Thompson,G,198.1,93.0,22,Detroit Pistons,1,Overtime Elite (Georgia),2023 Rnd 1 Pick 5,United States
55,Ethan Thompson,SG,195.6,88.5,25,Orlando Magic,0,Oregon State,"2021 NBA Draft, Undrafted",United StatesPuerto Rico
31,Klay Thompson,G,195.6,99.8,35,Dallas Mavericks,13,Washington State,2011 Rnd 1 Pick 11,United States
